configuration,n_reads,n_positions,read_accuracy,read_ci_lower,read_ci_upper,position_accuracy,position_ci_lower,position_ci_upper,pvalue_vs_baseline
binary_single,692,5536,0.7095375722543352,0.6746302499426813,0.7421313504533189,0.6038656069364162,0.5909141245815501,0.6166730434896475,
binary_pooled,19061,152488,0.633020303236976,0.6261517903683164,0.6398352104128419,0.5467315460888725,0.544231809636154,0.5492289280902549,0.0
3way_single,891,7128,0.5196408529741863,0.4868216262995627,0.5522914474801505,0.42746913580246915,0.4160266249831409,0.4389897819335967,2.220446049250313e-16
3way_pooled,25049,200392,0.469399976046948,0.4632248614577262,0.475584474700019,0.40739151263523493,0.40524202339069554,0.40954455236952575,0.0
