configuration,mode,emission_source,overall_accuracy,top_25pct_accuracy,top_50pct_accuracy,auc_macro,cv_mean_accuracy,cv_std_accuracy,n_samples,C_accuracy,5mC_accuracy,non_cpg_accuracy,non_cpg_n_samples,cpg_accuracy,cpg_n_samples,homopolymer_accuracy,homopolymer_n_samples,accuracy_ci_lower,accuracy_ci_upper,accuracy_se,pvalue_vs_chance,non_cpg_ci_lower,non_cpg_ci_upper,non_cpg_pvalue,cpg_ci_lower,cpg_ci_upper,cpg_pvalue,homopolymer_ci_lower,homopolymer_ci_upper,homopolymer_pvalue,5hmC_accuracy
binary_single,binary,single,0.7095375722543352,0.8497109826589595,0.8352601156069365,0.779491833030853,0.0,0.0,692,0.7435344827586207,0.6403508771929824,0.6184971098265896,3460,0.569364161849711,1384,0.5997109826589595,692,0.6746302499426813,0.7421313504533189,0.01725756958042909,6.738219671633579e-29,0.602188575834932,0.6345428132163379,0.07920881391620499,0.5431202240081325,0.5952241083215488,0.009028791111107926,0.5627522169273121,0.6355688205025086,0.8459475945841342,
binary_pooled,binary,pooled,0.633020303236976,0.7657922350472193,0.710283315844701,0.6838718708024922,0.0,0.0,19061,0.6411850177591217,0.6178630301213847,0.5563191857719951,95305,0.5289596558417712,38122,0.5343371281674624,19061,0.6261517903683164,0.6398352104128419,0.003491057466926353,8.831323541544965e-299,0.5531627904353078,0.5594710411766122,2.7223053240804424e-09,0.5239462643993936,0.5339672114876851,3.3833200258452e-12,0.5272495259423304,0.541410892914411,0.0005949547766791231,
3way_single,3way,single,0.5196408529741863,0.545045045045045,0.5662921348314607,0.6742820944639035,0.0,0.0,891,0.576017130620985,0.6412556053811659,0.4505050505050505,4455,0.3658810325476992,1782,0.43546576879910215,891,0.4868216262995627,0.5522914474801505,0.01673770171474743,3.4529772596486445e-30,0.4359437330331466,0.46515165148033666,0.002004585693173979,0.34382773039412445,0.3885113315987279,1.3355624299653025e-07,0.40325555475922076,0.4682300599645786,0.6355724713137687,0.2537313432835821
3way_pooled,3way,pooled,0.469399976046948,0.4845097412967103,0.5029543276908336,0.6153821133132794,0.0,0.0,25049,0.548420631747301,0.5694444444444444,0.40811210028344447,125245,0.4062836839794004,50098,0.40600423170585653,25049,0.4632248614577262,0.475584474700019,0.0031532613512600216,0.0,0.40539302627520196,0.41083681080822115,0.6047558825549538,0.40199029934356245,0.4105914396386714,0.6170004869540833,0.39993760571966636,0.41209968323455565,0.6573041629022869,0.19054054054054054
